"Date","Region","Province","AgeGroup","Gender","PartlyVaccinated","FullyVaccinated"
"2020-12-28","Brussels","NA","NA","NA",56,0
"2020-12-28","Flanders","NA","NA","NA",122,0
"2020-12-28","Wallonia","NA","NA","NA",119,0
"2020-12-29","Flanders","NA","NA","NA",1,0
"2020-12-30","Brussels","NA","NA","NA",5,0
"2020-12-30","Flanders","NA","NA","NA",473,0
"2020-12-30","Wallonia","NA","NA","NA",1,0
"2020-12-31","Flanders","NA","NA","NA",9,0
"2021-01-01","Brussels","NA","NA","NA",1,0
"2021-01-01","Wallonia","NA","NA","NA",6,0
"2021-01-04","Flanders","NA","NA","NA",1,0
"2021-01-05","Brussels","NA","NA","NA",630,0
"2021-01-05","Flanders","NA","NA","NA",36,0
"2021-01-05","Wallonia","NA","NA","NA",909,0
"2021-01-06","Brussels","NA","NA","NA",986,0
"2021-01-06","Flanders","NA","NA","NA",914,0
"2021-01-06","Wallonia","NA","NA","NA",1945,0
"2021-01-07","Brussels","NA","NA","NA",985,0
"2021-01-07","Flanders","NA","NA","NA",2144,0
"2021-01-07","Wallonia","NA","NA","NA",4929,0
"2021-01-08","Brussels","NA","NA","NA",1230,0
"2021-01-08","Flanders","NA","NA","NA",2975,0
"2021-01-08","Wallonia","NA","NA","NA",4928,0
"2021-01-09","Brussels","NA","NA","NA",2,0
"2021-01-09","Flanders","NA","NA","NA",3148,0
"2021-01-09","Wallonia","NA","NA","NA",37,0
"2021-01-10","Brussels","NA","NA","NA",11,0
"2021-01-10","Flanders","NA","NA","NA",348,0
"2021-01-10","Wallonia","NA","NA","NA",37,0
"2021-01-11","Brussels","NA","NA","NA",10,0
"2021-01-11","Flanders","NA","NA","NA",3745,0
"2021-01-11","Wallonia","NA","NA","NA",1659,0
"2021-01-12","Brussels","NA","NA","NA",1026,0
"2021-01-12","Flanders","NA","NA","NA",7955,0
"2021-01-12","Wallonia","NA","NA","NA",6346,0
"2021-01-13","Brussels","NA","NA","NA",3334,0
"2021-01-13","Flanders","NA","NA","NA",9518,0
"2021-01-13","Wallonia","NA","NA","NA",7661,0
"2021-01-14","Brussels","NA","NA","NA",1709,0
"2021-01-14","Flanders","NA","NA","NA",14002,0
"2021-01-14","Wallonia","NA","NA","NA",6783,0
"2021-01-15","Brussels","NA","NA","NA",809,0
"2021-01-15","Flanders","NA","NA","NA",15520,0
"2021-01-15","Wallonia","NA","NA","NA",6363,0
"2021-01-16","Brussels","NA","NA","NA",17,0
"2021-01-16","Flanders","NA","NA","NA",4678,0
"2021-01-16","Wallonia","NA","NA","NA",326,0
"2021-01-17","Brussels","NA","NA","NA",4,0
"2021-01-17","Flanders","NA","NA","NA",3130,0
"2021-01-17","Wallonia","NA","NA","NA",6,0
"2021-01-18","Brussels","NA","NA","NA",128,0
"2021-01-18","Flanders","NA","NA","NA",6058,109
"2021-01-18","Wallonia","NA","NA","NA",4201,0
"2021-01-19","Brussels","NA","NA","NA",1254,55
"2021-01-19","Flanders","NA","NA","NA",10884,10
"2021-01-19","Wallonia","NA","NA","NA",6232,116
"2021-01-20","Brussels","NA","NA","NA",889,4
